City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
284,Grand Gaube,MU,82.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
286,Axim,GH,77.95,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
289,Moerai,PF,79.54,light rain,-22.4333,-151.3333,Le Manotel
292,Kendari,ID,84.6,overcast clouds,-3.945,122.4989,Hotel Wixel
296,Sambava,MG,79.34,broken clouds,-14.2667,50.1667,Melrose
299,Mulki,IN,79.88,few clouds,13.1,74.8,Karnire Camping Ground
300,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
301,Batticaloa,LK,81.18,overcast clouds,7.7102,81.6924,Grand Star Guest House
302,Morondava,MG,78.12,light rain,-20.2833,44.2833,La Case Bambou
311,Cananeia,BR,76.91,overcast clouds,-25.0147,-47.9267,Pousada Ancoradouro
327,Alyangula,AU,76.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
331,Aburi,GH,76.71,clear sky,5.8472,-0.1775,Peduasi Hills Vila
334,Sinjai,ID,85.6,light rain,-5.1241,120.253,Wisma Sandika
337,Salalah,OM,75.04,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
339,Loandjili,CG,75.31,few clouds,-4.7561,11.8578,Résidence ARCHANGE
344,Sao Joao Da Barra,BR,75.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
345,Mandera,KE,76.33,broken clouds,3.9366,41.867,Mwalimu Guest mandera
353,Tebingtinggi,ID,87.85,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
354,The Valley,AI,77.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
355,Hobyo,SO,77.95,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
360,Maragogi,BR,76.73,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
363,Manokwari,ID,83.61,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
370,Broken Hill,AU,83.91,broken clouds,-31.95,141.4333,Royal Exchange Hotel
381,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
383,Palu,ID,88.68,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
384,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Hotel Central
385,Quatre Cocos,MU,82.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
388,Namatanai,PG,86.0,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
389,Bowen,AU,80.82,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
392,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
393,Ipixuna,BR,76.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
410,La Asuncion,VE,85.73,clear sky,11.0333,-63.8628,Colinas de Matasiete
415,Punto Fijo,VE,77.0,clear sky,11.6956,-70.1996,Santa Fe Inn Hotel
425,Kirakira,SB,84.61,overcast clouds,-10.4544,161.9205,SanBiz Lodge
437,Yeppoon,AU,85.78,few clouds,-23.1333,150.7333,Villa Mar Colina
444,Caucaia,BR,81.03,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
453,Pemangkat,ID,82.26,scattered clouds,1.1667,108.9667,Ramah Kost KITA
457,Alice Springs,AU,83.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
458,Ternate,ID,85.59,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
459,Sulangan,PH,81.3,overcast clouds,11.1373,123.7228,Maia's Beach Resort
464,Porto Belo,BR,77.25,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
469,Parrita,CR,80.37,few clouds,9.5201,-84.3225,Beso del Viento
472,Acarau,BR,77.32,clear sky,-2.8856,-40.12,castelo pizzaria
