City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,Erzurum,40.0,41.5,8.28,98,97,4.88,TR,2022-02-06 03:48:47
261,Aklavik,68.2191,-135.0107,-30.17,85,80,3.38,CA,2022-02-06 03:48:47
262,Hofn,64.2539,-15.2082,31.46,69,100,19.8,IS,2022-02-06 03:44:09
263,Robertsport,6.7533,-11.3686,78.19,87,15,4.56,LR,2022-02-06 03:48:48
264,Leh,34.1667,77.5833,5.7,74,99,2.37,IN,2022-02-06 03:48:48
265,Talara,-4.5772,-81.2719,71.17,85,12,11.65,PE,2022-02-06 03:48:48
266,Palasa,18.7667,84.4167,74.86,48,67,5.86,IN,2022-02-06 03:48:49
267,Leningradskiy,69.3833,178.4167,-22.14,97,15,3.18,RU,2022-02-06 03:44:54
268,Malanje,-9.5402,16.341,60.8,98,85,2.84,AO,2022-02-06 03:48:49
269,Comodoro Rivadavia,-45.8667,-67.5,62.46,63,0,4.61,AR,2022-02-06 03:45:00
270,Chivilcoy,-34.8957,-60.0167,59.02,10,6,5.99,AR,2022-02-06 03:48:50
271,Victor Harbor,-35.5667,138.6167,90.81,45,76,12.37,AU,2022-02-06 03:48:50
272,Aykhal,66.0,111.5,-17.59,97,99,1.39,RU,2022-02-06 03:48:51
273,Tenali,16.2425,80.6398,73.49,70,21,7.38,IN,2022-02-06 03:48:51
274,Luang Prabang,19.8856,102.1347,67.96,77,100,0.0,LA,2022-02-06 03:48:52
275,Cedar City,37.6775,-113.0619,29.17,43,0,8.05,US,2022-02-06 03:48:52
276,Ponta Do Sol,32.6667,-17.1,66.13,53,56,12.95,PT,2022-02-06 03:48:52
277,Clyde River,70.4692,-68.5914,-30.77,68,100,5.75,CA,2022-02-06 03:48:53
278,Bereda,43.2686,-7.5406,36.41,97,67,0.63,ES,2022-02-06 03:49:53
279,Vila,42.0304,-8.1588,35.33,82,15,4.14,PT,2022-02-06 03:49:54
280,Harper,4.375,-7.7169,77.45,88,34,4.88,LR,2022-02-06 03:48:52
281,Touros,-5.1989,-35.4608,77.9,72,35,9.4,BR,2022-02-06 03:49:54
282,Araouane,18.9048,-3.5265,60.75,13,0,8.32,ML,2022-02-06 03:49:55
283,Churhat,24.428,81.6703,61.29,43,3,5.61,IN,2022-02-06 03:49:55
284,Sao Bento Do Sul,-26.2503,-49.3786,70.23,94,100,2.62,BR,2022-02-06 03:49:55
285,Gat,31.61,34.7642,52.39,100,70,6.22,IL,2022-02-06 03:46:10
286,Tasiilaq,65.6145,-37.6368,14.16,58,96,6.76,GL,2022-02-06 03:49:56
287,Road Town,18.4167,-64.6167,72.0,79,92,21.81,VG,2022-02-06 03:46:03
288,Pozoblanco,38.3791,-4.8483,36.18,80,17,2.59,ES,2022-02-06 03:49:57
289,Yeppoon,-23.1333,150.7333,83.98,55,20,21.68,AU,2022-02-06 03:49:57
290,Ewo,-0.8725,14.8206,73.56,70,30,0.96,CG,2022-02-06 03:49:58
291,Necochea,-38.5473,-58.7368,60.04,72,100,20.13,AR,2022-02-06 03:49:58
292,Jubasan,12.4844,124.2872,82.17,71,32,19.84,PH,2022-02-06 03:49:58
293,Santa Catarina De Tepehuanes,25.35,-105.7333,45.5,55,8,5.61,MX,2022-02-06 03:49:59
294,Channel-Port Aux Basques,47.5702,-59.1367,19.15,84,82,32.48,CA,2022-02-06 03:49:59
295,Pontianak,-0.0333,109.3333,85.98,74,40,3.44,ID,2022-02-06 03:50:00
296,Den Helder,52.9599,4.7593,48.18,92,100,31.0,NL,2022-02-06 03:50:00
297,Ust-Kulom,61.6864,53.6902,3.79,95,35,5.57,RU,2022-02-06 03:50:01
298,Kaeo,-35.1,173.7833,75.33,94,100,3.29,NZ,2022-02-06 03:50:01
299,Prokopyevsk,53.9059,86.719,12.54,91,82,1.74,RU,2022-02-06 03:50:02
300,Japura,-0.3167,102.35,79.95,85,99,5.46,ID,2022-02-06 03:50:02
301,Pangai,-19.8,-174.35,80.71,74,75,13.8,TO,2022-02-06 03:50:02
302,Asfi,32.2994,-9.2372,55.9,82,37,16.22,MA,2022-02-06 03:50:03
303,Bobrovka,54.047,61.7455,12.69,92,100,4.97,RU,2022-02-06 03:50:03
304,Uva,56.9908,52.1852,22.46,96,98,5.03,RU,2022-02-06 03:50:04
305,Fairbanks,64.8378,-147.7164,9.61,82,100,4.61,US,2022-02-06 03:49:11
306,Victoria,22.2855,114.1577,65.97,76,99,3.0,HK,2022-02-06 03:46:17
307,Parrita,9.5201,-84.3225,80.37,71,6,3.67,CR,2022-02-06 03:50:05
308,Wewak,-3.5534,143.6268,86.27,69,100,15.88,PG,2022-02-06 03:45:32
309,Kieta,-6.2167,155.6333,86.7,68,41,10.47,PG,2022-02-06 03:50:05
310,Sault Sainte Marie,46.5168,-84.3333,19.69,82,100,10.36,CA,2022-02-06 03:50:06
311,Aanekoski,62.6946,25.818,26.67,98,41,5.93,FI,2022-02-06 03:50:06
312,Langcangan,8.4794,123.7558,82.63,68,81,7.43,PH,2022-02-06 03:50:07
313,Mercedes,-34.6515,-59.4307,61.84,94,5,8.77,AR,2022-02-06 03:50:07
314,Kruisfontein,-34.0033,24.7314,65.88,95,22,8.12,ZA,2022-02-06 03:48:30
315,Malakal,9.5334,31.6605,66.34,17,11,10.94,SS,2022-02-06 03:50:08
316,Saldanha,-33.0117,17.9442,60.85,76,64,6.15,ZA,2022-02-06 03:50:09
317,Pevek,69.7008,170.3133,-26.99,99,28,2.48,RU,2022-02-06 03:50:09
318,Siaya,0.0612,34.2882,63.61,83,100,5.66,KE,2022-02-06 03:50:10
319,Thompson,55.7435,-97.8558,-27.24,68,40,0.0,CA,2022-02-06 03:45:21
320,Vanimo,-2.6741,141.3028,84.79,71,100,8.48,PG,2022-02-06 03:50:10
321,Hanstholm,57.1167,8.6167,37.74,72,81,21.36,DK,2022-02-06 03:50:11
322,Matay,28.419,30.7792,47.84,76,0,5.14,EG,2022-02-06 03:47:51
323,Faya,18.3851,42.4509,48.72,74,0,3.44,SA,2022-02-06 03:51:11
324,Moron,-34.6534,-58.6198,62.35,83,29,9.84,AR,2022-02-06 03:51:12
325,Dasoguz,41.8363,59.9666,35.71,93,100,20.71,TM,2022-02-06 03:48:49
326,Mount Isa,-20.7333,139.5,89.37,33,100,8.05,AU,2022-02-06 03:51:12
327,Shumskiy,54.8318,99.1328,27.52,66,100,7.74,RU,2022-02-06 03:51:13
328,Poum,-20.2333,164.0167,78.85,91,100,13.71,NC,2022-02-06 03:51:13
329,Salinas,36.6777,-121.6555,56.35,54,0,5.75,US,2022-02-06 03:46:48
330,Kahului,20.8947,-156.47,78.82,71,0,16.11,US,2022-02-06 03:47:11
331,Treinta Y Tres,-33.2333,-54.3833,61.45,88,0,8.12,UY,2022-02-06 03:51:14
332,Inverness,57.4791,-4.224,36.99,92,20,5.99,GB,2022-02-06 03:51:14
333,Rabo De Peixe,37.8,-25.5833,59.27,92,20,18.41,PT,2022-02-06 03:51:15
334,Namibe,-15.1961,12.1522,71.56,68,92,8.05,AO,2022-02-06 03:51:15
335,Bonthe,7.5264,-12.505,74.7,87,32,0.96,SL,2022-02-06 03:51:16
336,Sembe,1.6481,14.5806,67.33,30,87,1.79,CG,2022-02-06 03:51:16
337,Tortoli,39.9256,9.6572,49.82,50,40,11.5,IT,2022-02-06 03:51:17
338,Tsiroanomandidy,-18.7667,46.0333,67.53,95,100,7.83,MG,2022-02-06 03:51:17
339,Santa Clara,22.4,-79.9667,65.17,86,0,5.48,CU,2022-02-06 03:51:18
340,Prainha,-1.8,-53.48,73.35,98,100,2.66,BR,2022-02-06 03:51:18
341,Mahibadhoo,3.7833,72.9667,81.43,68,38,8.68,MV,2022-02-06 03:51:18
342,Srednekolymsk,67.45,153.6833,-27.94,96,18,0.72,RU,2022-02-06 03:51:19
343,Bandarbeyla,9.4942,50.8122,74.82,72,8,6.62,SO,2022-02-06 03:50:14
344,Denpasar,-8.65,115.2167,85.71,74,20,8.05,ID,2022-02-06 03:48:13
345,Pangnirtung,66.1451,-65.7125,-33.95,93,100,6.17,CA,2022-02-06 03:51:19
346,Manado,1.487,124.8455,88.57,66,40,6.91,ID,2022-02-06 03:51:20
347,Bemidji,47.4736,-94.8803,12.9,89,100,0.0,US,2022-02-06 03:51:20
348,San Jeronimo,-11.9472,-75.2829,50.58,91,100,3.74,PE,2022-02-06 03:51:21
349,Celestun,20.8667,-90.4,71.73,77,81,16.2,MX,2022-02-06 03:51:21
350,Gambela,8.25,34.5833,73.69,34,37,0.96,ET,2022-02-06 03:51:22
351,Presidencia Roque Saenz Pena,-26.7852,-60.4388,73.35,47,2,9.86,AR,2022-02-06 03:51:22
352,Billund,55.7335,9.1078,40.77,93,100,20.71,DK,2022-02-06 03:51:22
353,Asyut,27.181,31.1837,42.98,68,0,5.95,EG,2022-02-06 03:51:23
354,Rudbar,30.15,62.6,54.54,46,10,10.85,AF,2022-02-06 03:51:23
355,Dickson,36.077,-87.3878,29.05,77,0,0.0,US,2022-02-06 03:51:24
356,Zhuhai,22.2769,113.5678,65.71,72,20,12.66,CN,2022-02-06 03:51:24
357,Podgorenskiy,50.405,39.6429,16.66,96,100,7.0,RU,2022-02-06 03:51:24
358,Gangapur,26.4833,76.7167,58.73,48,0,3.31,IN,2022-02-06 03:51:25
359,Jumla,29.2747,82.1838,45.54,24,0,2.71,NP,2022-02-06 03:51:25
360,Qingdao,36.0986,120.3719,35.2,35,0,8.95,CN,2022-02-06 03:51:26
361,Uyskoye,54.3775,60.0047,8.4,97,100,2.82,RU,2022-02-06 03:51:26
362,Yerbogachen,61.2767,108.0108,13.53,92,100,4.07,RU,2022-02-06 03:51:26
363,Chapleau,47.8405,-83.4034,9.9,94,100,9.15,CA,2022-02-06 03:51:27
364,Kununurra,-15.7667,128.7333,85.98,74,50,5.75,AU,2022-02-06 03:51:27
365,Sabang,5.8933,95.3214,82.2,74,80,13.33,ID,2022-02-06 03:51:28
366,Sambava,-14.2667,50.1667,76.1,82,73,3.76,MG,2022-02-06 03:51:28
367,Villazon,-22.0866,-65.5942,48.52,69,41,10.36,BO,2022-02-06 03:51:29
368,Atar,20.5169,-13.0499,67.71,11,0,5.03,MR,2022-02-06 03:52:29
369,Kattivakkam,13.2167,80.3167,84.29,77,99,8.37,IN,2022-02-06 03:52:29
370,Diplo,24.4667,69.584,68.16,63,13,6.89,PK,2022-02-06 03:52:30
371,Elizabeth City,36.2946,-76.2511,34.02,67,0,14.97,US,2022-02-06 03:52:30
372,Mersing,2.4312,103.8405,84.11,74,40,10.36,MY,2022-02-06 03:52:31
373,Abinsk,44.8726,38.1611,42.96,84,100,15.37,RU,2022-02-06 03:52:31
374,Charters Towers,-20.1,146.2667,87.22,34,0,9.15,AU,2022-02-06 03:48:42
375,Ta Khmau,11.4833,104.95,84.25,54,40,9.22,KH,2022-02-06 03:52:32
376,Seydi,39.4816,62.9137,43.21,71,100,20.24,TM,2022-02-06 03:52:33
377,Delta Del Tigre,-34.7633,-56.3853,66.2,85,93,11.01,UY,2022-02-06 03:52:33
378,Chicama,-7.8447,-79.1469,66.74,80,58,4.94,PE,2022-02-06 03:52:34
379,Gornopravdinsk,60.05,69.9,14.9,97,100,2.89,RU,2022-02-06 03:52:34
380,Port Blair,11.6667,92.75,86.04,66,40,9.22,IN,2022-02-06 03:51:22
381,Pineville,31.3224,-92.4343,34.09,77,0,0.0,US,2022-02-06 03:52:30
382,Honolulu,21.3069,-157.8583,80.42,71,40,1.99,US,2022-02-06 03:51:17
383,Valladolid,41.5833,-4.6667,32.29,85,3,5.26,ES,2022-02-06 03:52:35
384,Fandriana,-20.2333,47.3833,64.49,89,100,17.18,MG,2022-02-06 03:52:35
385,Saint Pete Beach,27.7253,-82.7412,58.28,83,100,5.01,US,2022-02-06 03:52:36
386,Odweyne,9.4092,45.064,62.2,47,95,10.42,SO,2022-02-06 03:52:36
387,Moirang,24.5,93.7667,55.45,46,3,5.1,IN,2022-02-06 03:52:37
388,La Ronge,55.1001,-105.2842,-3.75,71,100,2.3,CA,2022-02-06 03:52:37
389,Cascais,38.6979,-9.4215,52.95,64,0,1.01,PT,2022-02-06 03:52:37
390,Hamina,60.5697,27.1979,25.88,100,58,6.31,FI,2022-02-06 03:52:38
391,Kalmunai,7.4167,81.8167,80.67,61,98,8.01,LK,2022-02-06 03:52:38
392,Hay River,60.8156,-115.7999,-11.24,84,40,4.61,CA,2022-02-06 03:52:39
393,Ahipara,-35.1667,173.1667,73.51,91,100,3.42,NZ,2022-02-06 03:52:39
394,Guilin,25.2819,110.2864,42.91,74,100,4.56,CN,2022-02-06 03:49:36
395,Havre-Saint-Pierre,50.2334,-63.5986,3.79,55,0,12.66,CA,2022-02-06 03:51:37
396,Tashtyp,52.7939,89.8983,12.58,75,79,0.96,RU,2022-02-06 03:52:40
397,Teguldet,57.3064,88.1667,14.09,89,100,5.37,RU,2022-02-06 03:52:40
398,Tomatlan,19.9333,-105.25,66.76,88,92,1.16,MX,2022-02-06 03:49:46
399,Beoumi,7.6736,-5.5764,68.47,28,5,3.31,CI,2022-02-06 03:52:41
400,The Valley,18.217,-63.0578,77.09,74,83,21.52,AI,2022-02-06 03:48:29
401,Itarema,-2.9248,-39.9167,77.25,89,7,8.68,BR,2022-02-06 03:47:42
402,Vostok,46.4856,135.8833,2.3,85,100,5.73,RU,2022-02-06 03:52:42
403,Ust-Nera,64.5667,143.2,-11.16,77,48,2.01,RU,2022-02-06 03:52:42
404,Kaitangata,-46.2817,169.8464,54.93,58,34,7.54,NZ,2022-02-06 03:52:42
405,Ambilobe,-13.2,49.05,74.34,91,99,2.98,MG,2022-02-06 03:52:43
406,Itaituba,-4.2761,-55.9836,73.38,99,100,0.56,BR,2022-02-06 03:52:43
407,Fort Nelson,58.8053,-122.7002,17.65,97,100,2.3,CA,2022-02-06 03:52:44
408,Mayo,38.8876,-76.5119,28.35,59,0,4.0,US,2022-02-06 03:52:44
409,Klaksvik,62.2266,-6.589,32.92,74,100,18.28,FO,2022-02-06 03:49:08
410,Tshikapa,-6.4167,20.8,67.95,97,64,1.43,CD,2022-02-06 03:53:45
411,Morehead,37.2711,-87.1764,20.95,93,0,0.0,US,2022-02-06 03:53:46
412,Quelimane,-17.8786,36.8883,75.15,94,75,8.05,MZ,2022-02-06 03:53:46
413,Bundaberg,-24.85,152.35,82.22,55,75,1.99,AU,2022-02-06 03:49:28
414,Bilma,18.6853,12.9164,54.61,22,0,8.37,NE,2022-02-06 03:53:47
415,Emerald,-23.5333,148.1667,87.94,30,40,12.66,AU,2022-02-06 03:53:47
416,Srivardhan,18.0333,73.0167,73.99,56,62,0.83,IN,2022-02-06 03:53:47
417,Viedma,-40.8135,-62.9967,54.79,68,0,6.2,AR,2022-02-06 03:53:48
418,Pakxe,15.1167,105.7833,77.14,57,20,2.3,LA,2022-02-06 03:53:48
419,Bontang,0.1333,117.5,84.56,67,100,11.16,ID,2022-02-06 03:53:49
420,Marechal Candido Rondon,-24.5561,-54.0567,72.25,96,98,1.92,BR,2022-02-06 03:53:49
421,Juneau,58.3019,-134.4197,37.85,99,100,11.01,US,2022-02-06 03:53:49
422,Noumea,-22.2763,166.4572,89.58,81,58,9.06,NC,2022-02-06 03:53:27
423,Valdosta,30.8327,-83.2785,47.79,81,0,3.44,US,2022-02-06 03:53:50
424,Emba,48.8264,58.1442,18.48,97,100,1.03,KZ,2022-02-06 03:53:50
425,Christchurch,-43.5333,172.6333,62.01,67,100,3.44,NZ,2022-02-06 03:51:47
426,Amapa,1.0,-52.0,71.06,100,100,1.5,BR,2022-02-06 03:53:51
427,Athabasca,54.7169,-113.2854,35.29,92,74,5.1,CA,2022-02-06 03:53:51
428,Vestmannaeyjar,63.4427,-20.2734,27.14,76,85,21.5,IS,2022-02-06 03:53:52
429,San Alberto,7.7611,-73.3922,73.78,89,25,3.09,CO,2022-02-06 03:53:52
430,Mildura,-34.2,142.15,87.08,24,40,10.36,AU,2022-02-06 03:53:52
431,Quang Ngai,15.1167,108.8,73.31,85,69,8.25,VN,2022-02-06 03:53:53
432,Mendi,-6.1761,143.6513,69.08,64,100,6.24,PG,2022-02-06 03:53:53
433,Price,39.5994,-110.8107,29.12,66,23,8.63,US,2022-02-06 03:53:54
434,Kuusamo,65.9667,29.1833,17.64,93,100,10.36,FI,2022-02-06 03:53:54
435,Erzin,36.9559,36.2,37.92,80,6,3.65,TR,2022-02-06 03:53:54
436,Galesong,-5.3166,119.3661,86.02,70,93,7.78,ID,2022-02-06 03:53:55
437,Aljezur,37.3191,-8.8033,48.33,81,1,8.5,PT,2022-02-06 03:53:55
438,Belaya Gora,68.5333,146.4167,-35.07,99,86,0.94,RU,2022-02-06 03:53:56
439,Marfino,55.7028,37.3822,15.94,85,75,6.71,RU,2022-02-06 03:53:56
440,Nome,64.5011,-165.4064,-16.19,92,4,8.32,US,2022-02-06 03:53:56
441,Talnakh,69.4865,88.3972,-17.23,99,100,2.28,RU,2022-02-06 03:53:57
442,Nanga Eboko,4.6833,12.3667,60.06,40,70,0.25,CM,2022-02-06 03:53:57
443,Olean,42.0776,-78.4297,8.94,61,0,0.0,US,2022-02-06 03:53:58
444,Ancud,-41.8697,-73.8203,55.42,88,85,2.89,CL,2022-02-06 03:53:58
445,Sandpoint,48.2766,-116.5533,37.74,87,0,1.01,US,2022-02-06 03:49:03
446,Ulladulla,-35.35,150.4667,73.87,60,47,13.6,AU,2022-02-06 03:53:59
447,Port-Gentil,-0.7193,8.7815,78.73,82,16,9.64,GA,2022-02-06 03:53:59
