City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
109,Clyde River,70.4692,-68.5914,-30.77,75,20,3.44,CA,few clouds,2022-02-06 04:41:11
110,Katsuura,35.1333,140.3,46.11,29,49,5.91,JP,scattered clouds,2022-02-06 04:44:11
111,Pervomayskoye,43.919,46.7102,30.42,68,5,8.77,RU,clear sky,2022-02-06 04:45:05
112,Dikson,73.5069,80.5464,-22.31,100,99,4.85,RU,overcast clouds,2022-02-06 04:45:06
113,Te Anau,-45.4167,167.7167,65.25,41,0,5.48,NZ,clear sky,2022-02-06 04:45:06
114,Itarema,-2.9248,-39.9167,77.0,89,10,8.39,BR,clear sky,2022-02-06 04:44:22
115,Saint Anthony,45.0205,-93.218,25.03,81,0,1.01,US,clear sky,2022-02-06 04:45:07
116,Ribeira Grande,38.5167,-28.7,59.63,76,6,11.03,PT,clear sky,2022-02-06 04:45:07
117,Voh,-20.9667,164.7,78.3,89,100,4.45,NC,moderate rain,2022-02-06 04:45:08
118,Murray Bridge,-35.1167,139.2667,91.31,19,49,12.57,AU,scattered clouds,2022-02-06 04:45:08
119,Airai,-8.9266,125.4092,72.66,70,65,3.06,TL,broken clouds,2022-02-06 04:45:08
120,Talnakh,69.4865,88.3972,-18.96,99,99,1.28,RU,overcast clouds,2022-02-06 04:45:09
121,Ilulissat,69.2167,-51.1,1.42,51,100,13.8,GL,overcast clouds,2022-02-06 04:45:10
122,Hervey Bay,-25.2986,152.8535,82.51,60,48,24.99,AU,light rain,2022-02-06 04:45:10
123,Port Hardy,50.6996,-127.4199,42.98,87,100,2.3,CA,overcast clouds,2022-02-06 04:42:21
124,Hirara,24.8,125.2833,64.67,59,75,18.41,JP,broken clouds,2022-02-06 04:45:11
125,Faanui,-16.4833,-151.75,80.58,76,33,19.01,PF,moderate rain,2022-02-06 04:45:11
126,Roald,62.5833,6.1333,36.91,93,100,26.46,NO,snow,2022-02-06 04:45:12
127,Saint-Pierre,-21.3393,55.4781,83.88,70,0,5.75,RE,clear sky,2022-02-06 04:45:12
128,Cockburn Town,21.4612,-71.1419,76.01,66,0,18.05,TC,clear sky,2022-02-06 04:42:03
